Name,Club,Age,Position,Overall,Potential,Wage,Contract_Years_Remaining,Financial_Burden,Action
Tiago Pombeira,Atlético Mineiro,30,RAM,71,71,21000.0,2.0,2184000.0,🔴 TERMINATE (No Resale Value)
J. Zimmer,Fortuna Düsseldorf,24,RM,71,76,14000.0,3.0,2184000.0,🟡 SELL NOW (Peak Age)
R. Yaremchuk,KAA Gent,22,ST,71,76,13000.0,2.0,1352000.0,🔵 LOAN OUT (Young)
F. Wiedwald,Eintracht Frankfurt,28,GK,71,71,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
B. Garnica,Club Atlas,22,RM,71,77,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
B. McKay,Swansea City,23,LW,71,78,17000.0,2.0,1768000.0,🔵 LOAN OUT (Young)
J. Perbet,Sporting de Charleroi,33,ST,71,71,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
Carlitos,FC Sion,35,LM,71,71,14000.0,3.0,2184000.0,🔴 TERMINATE (No Resale Value)
J. Bostock,Toulouse Football Club,26,RDM,71,74,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
G. Verón,Independiente,28,RM,71,71,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
M. Dijks,Bologna,25,LM,71,74,17000.0,4.0,3536000.0,🟡 SELL NOW (Peak Age)
M. Bourabia,Sassuolo,26,RCM,71,72,29000.0,3.0,4524000.0,🟡 SELL NOW (Peak Age)
E. Bergström,FC Utrecht,25,CB,71,75,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
D. Cools,Club Brugge KV,22,RM,71,78,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
J. Abella,Santos Laguna,24,RB,71,75,11000.0,4.0,2288000.0,🟡 SELL NOW (Peak Age)
O. González,Deportivo Toluca,33,RCB,71,71,14000.0,3.0,2184000.0,🔴 TERMINATE (No Resale Value)
Paulolettinho,Paraná,34,LAM,71,71,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
J. McClean,Stoke City,29,LW,71,71,30000.0,3.0,4680000.0,🟡 SELL NOW (Peak Age)
J. Šimunović,Celtic,23,CB,71,76,24000.0,2.0,2496000.0,🔵 LOAN OUT (Young)
J. Marriott,Derby County,23,ST,71,78,25000.0,2.0,2600000.0,🔵 LOAN OUT (Young)
C. Pantilimon,Nottingham Forest,31,GK,71,71,22000.0,2.0,2288000.0,🔴 TERMINATE (No Resale Value)
A. Nwakaeme,Trabzonspor,29,LM,71,71,21000.0,2.0,2184000.0,🟡 SELL NOW (Peak Age)
M. Doumbia,Stade de Reims,23,LM,71,77,11000.0,3.0,1716000.0,🔵 LOAN OUT (Young)
T. Darikwa,Nottingham Forest,26,RB,71,72,27000.0,2.0,2808000.0,🟡 SELL NOW (Peak Age)
A. Forshaw,Leeds United,26,LCM,71,72,26000.0,3.0,4056000.0,🟡 SELL NOW (Peak Age)
R. Coly,OGC Nice,22,LB,71,78,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
B. Koita,Kasimpaşa SK,27,ST,71,71,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
P. Barrera,U.N.A.M.,31,RM,71,71,14000.0,4.0,2912000.0,🔴 TERMINATE (No Resale Value)
K. Musona,RSC Anderlecht,28,CF,71,71,15000.0,3.0,2340000.0,🟡 SELL NOW (Peak Age)
S. Hierländer,SK Sturm Graz,27,RM,71,71,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
M. Dal Hende,FC Midtjylland,27,LWB,71,71,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
Martin Cordeia,Internacional,34,CAM,71,71,17000.0,2.0,1768000.0,🔴 TERMINATE (No Resale Value)
Marlion Rolim,Cruzeiro,26,LAM,71,71,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
S. Guirassy,1. FC Köln,22,ST,71,79,13000.0,2.0,1352000.0,🔵 LOAN OUT (Young)
Eltildo Bessa,Paraná,34,ST,71,71,15000.0,2.0,1560000.0,🔴 TERMINATE (No Resale Value)
B. Marshall,Norwich City,27,LM,71,71,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
N. Mendez-Laing,Cardiff City,26,RW,71,72,30000.0,2.0,3120000.0,🟡 SELL NOW (Peak Age)
Z. Bakkali,RSC Anderlecht,22,LM,71,77,11000.0,3.0,1716000.0,🔵 LOAN OUT (Young)
P. Köpke,Hertha BSC,22,ST,71,79,16000.0,3.0,2496000.0,🔵 LOAN OUT (Young)
K. McLean,Norwich City,26,CM,71,73,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
O. Jiménez,Club América,29,GK,71,71,27000.0,2.0,2808000.0,🟡 SELL NOW (Peak Age)
Túlio Sandoiro,América FC (Minas Gerais),34,ST,71,71,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
P. Oniangué,Stade Malherbe Caen,29,CDM,71,71,14000.0,3.0,2184000.0,🟡 SELL NOW (Peak Age)
S. Malone,Derby County,27,LB,71,72,24000.0,2.0,2496000.0,🟡 SELL NOW (Peak Age)
T. Dingomé,Stade de Reims,27,CDM,71,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
M. Colin,Birmingham City,26,RB,71,72,17000.0,2.0,1768000.0,🟡 SELL NOW (Peak Age)
F. Jozefzoon,Derby County,27,RW,71,71,29000.0,2.0,3016000.0,🟡 SELL NOW (Peak Age)
O. Bayram,Galatasaray SK,26,LB,71,72,29000.0,2.0,3016000.0,🟡 SELL NOW (Peak Age)
A. Voglsammer,DSC Arminia Bielefeld,26,LS,71,73,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
A. Yiadom,Reading,26,RB,71,72,20000.0,3.0,3120000.0,🟡 SELL NOW (Peak Age)
E. Zelazny,Stade Malherbe Caen,26,GK,71,74,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
A. Leya Iseka,Toulouse Football Club,20,ST,71,78,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
Raphael Rossi,FC Sion,27,CB,71,72,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
Wiliam Santinho,Fluminense,34,GK,71,71,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
Wagner Orsinho,Fluminense,30,LB,71,71,16000.0,2.0,1664000.0,🔴 TERMINATE (No Resale Value)
P. Faragò,Cagliari,25,RM,71,73,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
Luisinho Conradi,Atlético Mineiro,30,LB,71,71,19000.0,2.0,1976000.0,🔴 TERMINATE (No Resale Value)
B. Özcan,VfB Stuttgart,20,CAM,71,78,15000.0,2.0,1560000.0,🔵 LOAN OUT (Young)
P. Bamford,Leeds United,24,ST,71,76,25000.0,3.0,3900000.0,🟡 SELL NOW (Peak Age)
A. Calabresi,Bologna,22,CB,71,79,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
Z. Kuzmanović,FC Basel 1893,30,CM,71,71,17000.0,4.0,3536000.0,🔴 TERMINATE (No Resale Value)
V. Salazar,San Lorenzo de Almagro,25,RB,71,76,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
P. Mwene,1. FSV Mainz 05,24,RB,71,78,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
Andrei Girotto,FC Nantes,26,CDM,71,73,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
R. Herrera,Pachuca,29,CB,71,71,18000.0,4.0,3744000.0,🟡 SELL NOW (Peak Age)
Jonas,Al Ittihad,26,LDM,71,72,21000.0,2.0,2184000.0,🟡 SELL NOW (Peak Age)
Silvosinho,Santos,34,RB,71,71,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
R. Baca,Cruz Azul,28,LDM,71,71,17000.0,3.0,2652000.0,🟡 SELL NOW (Peak Age)
S. Limbombe,KAA Gent,27,RM,71,71,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
M. Al Owais,Al Ahli,26,GK,71,73,17000.0,3.0,2652000.0,🟡 SELL NOW (Peak Age)
A. Ateef,Al Hilal,25,LDM,71,74,20000.0,3.0,3120000.0,🟡 SELL NOW (Peak Age)
E. García,Pachuca,28,LB,71,71,18000.0,4.0,3744000.0,🟡 SELL NOW (Peak Age)
Fábio,FC Nantes,27,LB,71,71,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
J. Brownhill,Bristol City,22,RCM,71,79,23000.0,2.0,2392000.0,🔵 LOAN OUT (Young)
N. Pasquini,Club Atlético Lanús,27,LB,71,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
K. Sema,Watford,24,LM,71,73,27000.0,4.0,5616000.0,🟡 SELL NOW (Peak Age)
Nathael Silbeira,Cruzeiro,34,GK,71,71,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
Eduardo Fonseira,Botafogo,30,GK,71,71,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
R. Beerens,Vitesse,30,RW,71,71,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
Cao Yunding,Shanghai Greenland Shenhua FC,28,LM,71,71,11000.0,3.0,1716000.0,🟡 SELL NOW (Peak Age)
N. Sarenren Bazee,Hannover 96,21,RM,70,78,13000.0,2.0,1352000.0,🔵 LOAN OUT (Young)
A. Pešić,Al Ittihad,26,ST,70,73,22000.0,4.0,4576000.0,🟡 SELL NOW (Peak Age)
Jony Reitosa,Ceará Sporting Club,26,RB,70,70,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
J. Murphy,Cardiff City,23,LM,70,77,21000.0,3.0,3276000.0,🔵 LOAN OUT (Young)
R. Gagliolo,Parma,28,LCB,70,70,21000.0,4.0,4368000.0,🟡 SELL NOW (Peak Age)
D. de Buen,Santos Laguna,26,CDM,70,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
D. John,Swansea City,23,LB,70,78,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
J. Valenzuela,Club Tijuana,34,LCB,70,70,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
F. Bradarić,Cagliari,26,CM,70,74,15000.0,4.0,3120000.0,🟡 SELL NOW (Peak Age)
A. Canelo,Deportivo Toluca,26,ST,70,72,14000.0,4.0,2912000.0,🟡 SELL NOW (Peak Age)
B. Barišić,Rangers FC,25,LB,70,73,23000.0,3.0,3588000.0,🟡 SELL NOW (Peak Age)
C. Ganea,Athletic Club de Bilbao,26,LB,70,73,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
Lourival Dinisco,Paraná,30,LCB,70,70,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
Jairo Farnias,Internacional,30,GK,70,70,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
D. Cabrera,U.N.A.M.,28,CM,70,70,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
F. Platte,SV Darmstadt 98,22,ST,70,77,11000.0,2.0,1144000.0,🔵 LOAN OUT (Young)
M. Friedrich,1. FC Union Berlin,22,RCB,70,78,13000.0,2.0,1352000.0,🔵 LOAN OUT (Young)
M. Targett,Southampton,22,LB,70,79,19000.0,3.0,2964000.0,🔵 LOAN OUT (Young)
R. Dwamena,Levante UD,22,ST,70,79,12000.0,3.0,1872000.0,🔵 LOAN OUT (Young)
Ansel Barnisco,Paraná,30,LDM,70,70,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
L. Baker,Leeds United,23,CM,70,78,20000.0,3.0,3120000.0,🔵 LOAN OUT (Young)
N. Paz,Bologna,26,CB,70,75,15000.0,4.0,3120000.0,🟡 SELL NOW (Peak Age)
M. Hefele,Nottingham Forest,27,CB,70,72,24000.0,2.0,2496000.0,🟡 SELL NOW (Peak Age)
K. Coulibaly,FC Nantes,26,ST,70,70,15000.0,3.0,2340000.0,🟡 SELL NOW (Peak Age)
D. Lenihan,Blackburn Rovers,24,CB,70,75,18000.0,3.0,2808000.0,🟡 SELL NOW (Peak Age)
Renaldo Justinho,Botafogo,34,CAM,70,70,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
S. Hogan,Aston Villa,26,ST,70,73,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
Vinicius Trieiro,Botafogo,26,RB,70,70,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
Raphael Paneira,Grêmio,30,RW,70,70,17000.0,2.0,1768000.0,🔴 TERMINATE (No Resale Value)
Jailson Oliva,Atlético Mineiro,26,RB,70,70,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
C. Ramos,Al Nassr,29,LCB,70,70,19000.0,3.0,2964000.0,🟡 SELL NOW (Peak Age)
A. Mabil,FC Midtjylland,22,RW,70,78,12000.0,3.0,1872000.0,🔵 LOAN OUT (Young)
M. Olivera,Fiorentina,26,LB,70,73,24000.0,2.0,2496000.0,🟡 SELL NOW (Peak Age)
Breno Bemposta,Ceará Sporting Club,34,LDM,70,70,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
I. Saadi,RC Strasbourg Alsace,26,ST,70,71,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
Marlinito Dias,Cruzeiro,34,CDM,70,70,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
José Arnáiz,CD Leganés,23,LM,70,79,13000.0,4.0,2704000.0,🔵 LOAN OUT (Young)
Luan Sendeiro,Internacional,26,CDM,70,70,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
J. Cortés,Santos Laguna,28,CM,70,70,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
M. George,FC Midtjylland,24,ST,70,75,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
X. Kouassi,FC Sion,28,LCM,70,70,16000.0,3.0,2496000.0,🟡 SELL NOW (Peak Age)
J. Bacuna,Huddersfield Town,20,CM,70,77,18000.0,2.0,1872000.0,🔵 LOAN OUT (Young)
Sevinho Santos,Cruzeiro,30,ST,70,70,17000.0,2.0,1768000.0,🔴 TERMINATE (No Resale Value)
M. Pajač,Cagliari,25,LM,70,72,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
J. Domínguez,Cruz Azul,30,LCB,70,70,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
J. Wurtz,SV Darmstadt 98,26,CAM,70,71,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
Y. Al Shehri,Al Nassr,28,CAM,70,70,21000.0,2.0,2184000.0,🟡 SELL NOW (Peak Age)
D. Williams,Blackburn Rovers,25,LB,70,72,20000.0,2.0,2080000.0,🟡 SELL NOW (Peak Age)
F. Diabaté,Leicester City,22,LM,70,78,27000.0,3.0,4212000.0,🔵 LOAN OUT (Young)
K. N'Doram,AS Monaco,22,CDM,70,79,24000.0,4.0,4992000.0,🔵 LOAN OUT (Young)
I. Plastun,KAA Gent,27,CB,70,71,11000.0,3.0,1716000.0,🟡 SELL NOW (Peak Age)
H. Al Moqahwi,Al Ahli,30,CAM,70,70,20000.0,3.0,3120000.0,🔴 TERMINATE (No Resale Value)
N. Taylor,Aston Villa,29,LB,70,70,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
Y. Ngbakoto,En Avant de Guingamp,26,LM,70,71,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
A. Wisdom,Derby County,25,RB,70,75,20000.0,2.0,2080000.0,🟡 SELL NOW (Peak Age)
J. de Wijs,Hull City,23,CB,70,74,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
R. Del Castillo,Stade Rennais FC,22,RM,70,77,14000.0,3.0,2184000.0,🔵 LOAN OUT (Young)
P. McNair,Middlesbrough,23,CDM,70,78,22000.0,3.0,3432000.0,🔵 LOAN OUT (Young)
J. Fulton,Swansea City,24,RCM,70,77,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
T. Mings,Bournemouth,25,LB,70,72,27000.0,2.0,2808000.0,🟡 SELL NOW (Peak Age)
P. Souaré,Crystal Palace,28,LB,70,70,25000.0,2.0,2600000.0,🟡 SELL NOW (Peak Age)
J. Vigón,Club Atlas,26,RCM,70,70,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
M. Cerato,Club León,30,RW,70,70,17000.0,4.0,3536000.0,🔴 TERMINATE (No Resale Value)
H. Veerman,FC St. Pauli,27,ST,70,70,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
Daguinho Parrela,Internacional,34,RB,70,70,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
C. Zimmermann,Norwich City,25,RCB,70,75,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
Jorginho,Al Qadisiyah,27,RM,70,70,12000.0,4.0,2496000.0,🟡 SELL NOW (Peak Age)
L. Quintana,U.N.A.M.,26,LCB,70,75,11000.0,3.0,1716000.0,🟡 SELL NOW (Peak Age)
J. Cristaldo,Racing Club,29,RS,70,70,13000.0,4.0,2704000.0,🟡 SELL NOW (Peak Age)
Bernardo Motinho,Cruzeiro,26,RB,70,70,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
F. Al Ansari,Al Faisaly,31,LDM,70,70,13000.0,4.0,2704000.0,🔴 TERMINATE (No Resale Value)
E. Bennett,Blackburn Rovers,29,RM,70,70,24000.0,2.0,2496000.0,🟡 SELL NOW (Peak Age)
A. Sørloth,Crystal Palace,22,ST,70,76,25000.0,3.0,3900000.0,🔵 LOAN OUT (Young)
David Raya,Blackburn Rovers,22,GK,70,77,14000.0,2.0,1456000.0,🔵 LOAN OUT (Young)
J. Siebatcheu,Stade Rennais FC,22,ST,70,77,16000.0,4.0,3328000.0,🔵 LOAN OUT (Young)
Milton Menceiros,Ceará Sporting Club,26,LCB,70,70,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
T. Schröck,FC Ingolstadt 04,25,CB,70,75,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
Z. Touré,Trabzonspor,28,RCB,70,71,16000.0,2.0,1664000.0,🟡 SELL NOW (Peak Age)
M. Müller,RB Leipzig,24,GK,70,75,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
Eltson Marques,Internacional,26,CB,70,70,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
C. Lombardi,Lazio,22,LW,69,74,19000.0,3.0,2964000.0,🔵 LOAN OUT (Young)
C. Evans,Blackburn Rovers,27,CDM,69,69,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
S. Dursun,SV Darmstadt 98,26,ST,69,70,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
Roldão Riso,Grêmio,26,CDM,69,69,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
Carvamelinho,Grêmio,34,RB,69,69,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
I. González,Club León,33,CB,69,69,12000.0,2.0,1248000.0,🔴 TERMINATE (No Resale Value)
Lucas Galvão,FC Ingolstadt 04,27,CB,69,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
J. Mees,1. FC Union Berlin,22,LW,69,78,14000.0,2.0,1456000.0,🔵 LOAN OUT (Young)
F. Píriz,Montpellier HSC,28,CDM,69,70,11000.0,4.0,2288000.0,🟡 SELL NOW (Peak Age)
M. Watkins,Bristol City,27,RM,69,69,19000.0,2.0,1976000.0,🟡 SELL NOW (Peak Age)
Paulo Fajarda,Cruzeiro,26,CB,69,69,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
I. Jiménez,Tigres U.A.N.L.,28,RB,69,69,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
J. Jantscher,SK Sturm Graz,29,LM,69,69,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
S. Prevljak,FC Red Bull Salzburg,23,LS,69,77,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
A. Aldrete,Cruz Azul,30,LB,69,69,11000.0,4.0,2288000.0,🔴 TERMINATE (No Resale Value)
J. Hunt,Bristol City,27,RB,69,69,18000.0,2.0,1872000.0,🟡 SELL NOW (Peak Age)
Alson Botelho,Atlético Mineiro,30,CDM,69,69,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
Arthur Caike,Al Shabab,26,LM,69,70,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
E. Kouassi,Celtic,20,CDM,69,77,15000.0,2.0,1560000.0,🔵 LOAN OUT (Young)
E. Triverio,Deportivo Toluca,29,ST,69,69,13000.0,4.0,2704000.0,🟡 SELL NOW (Peak Age)
Lucas João,Sheffield Wednesday,24,LM,69,73,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
Antonaldo Laforte,Fluminense,26,CAM,69,69,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
G. Madine,Cardiff City,27,ST,69,69,22000.0,2.0,2288000.0,🟡 SELL NOW (Peak Age)
Ever Sineiro,Cruzeiro,30,CAM,69,69,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
S. Gallagher,Southampton,22,ST,69,77,20000.0,2.0,2080000.0,🔵 LOAN OUT (Young)
P. Hosiner,SK Sturm Graz,29,ST,69,69,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
Renato Rochela,Atlético Mineiro,26,CAM,69,69,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
L. Valzania,Atalanta,22,CM,69,78,11000.0,4.0,2288000.0,🔵 LOAN OUT (Young)
Rômulão Selva,Botafogo,26,LS,69,69,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
K. Palmer,Blackburn Rovers,21,CAM,69,77,14000.0,2.0,1456000.0,🔵 LOAN OUT (Young)
Kaíque Mutto,Atlético Mineiro,26,GK,69,69,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
S. Fortès,Toulouse Football Club,26,RCB,69,72,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
M. Stefaniak,VfL Wolfsburg,23,LW,69,76,18000.0,3.0,2808000.0,🔵 LOAN OUT (Young)
A. Kalulu,FC Basel 1893,22,RM,69,78,11000.0,2.0,1144000.0,🔵 LOAN OUT (Young)
C. Kipré,Wigan Athletic,21,RCB,69,78,15000.0,2.0,1560000.0,🔵 LOAN OUT (Young)
D. Davis,Birmingham City,27,CM,69,70,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
S. Benrahma,Brentford,22,LW,69,75,19000.0,3.0,2964000.0,🔵 LOAN OUT (Young)
C. Salcido,Guadalajara,38,CB,69,69,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
M. Roberts,Birmingham City,27,CB,69,71,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
L. Stulac,Parma,23,CDM,69,77,14000.0,4.0,2912000.0,🔵 LOAN OUT (Young)
Emidio Hoffman,Atlético Mineiro,34,CB,69,69,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
Sergi Canós,Brentford,21,RW,68,74,14000.0,3.0,2184000.0,🔵 LOAN OUT (Young)
T. Bašić,FC Girondins de Bordeaux,21,CM,68,77,11000.0,3.0,1716000.0,🔵 LOAN OUT (Young)
S. Baldock,Reading,29,ST,68,68,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
J. Swift,Reading,23,CM,68,73,12000.0,3.0,1872000.0,🔵 LOAN OUT (Young)
S. Kutschke,FC Ingolstadt 04,29,ST,68,68,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
E. O'Kane,Leeds United,27,CDM,68,68,15000.0,2.0,1560000.0,🟡 SELL NOW (Peak Age)
F. Al Qarni,Al Ittihad,26,GK,68,70,11000.0,3.0,1716000.0,🟡 SELL NOW (Peak Age)
D. Calderón Caicedo,Al Faisaly,28,ST,68,68,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
S. Iacoponi,Parma,31,RB,68,68,14000.0,2.0,1456000.0,🔴 TERMINATE (No Resale Value)
M. Herrera,Club León,29,RCB,68,68,11000.0,3.0,1716000.0,🟡 SELL NOW (Peak Age)
G. Evans,Derby County,23,CDM,68,75,13000.0,2.0,1352000.0,🔵 LOAN OUT (Young)
Adão Morrinhos,Fluminense,26,LS,68,68,12000.0,2.0,1248000.0,🟡 SELL NOW (Peak Age)
J. Smith,Nottingham Forest,23,GK,68,72,11000.0,4.0,2288000.0,🔵 LOAN OUT (Young)
M. Kanno,Al Hilal,23,RDM,68,74,12000.0,3.0,1872000.0,🔵 LOAN OUT (Young)
D. Holmes,Derby County,23,CAM,68,74,14000.0,2.0,1456000.0,🔵 LOAN OUT (Young)
D. Button,Brighton & Hove Albion,29,GK,68,68,14000.0,2.0,1456000.0,🟡 SELL NOW (Peak Age)
S. Bain,Celtic,26,GK,68,72,14000.0,3.0,2184000.0,🟡 SELL NOW (Peak Age)
M. Al Harbi,Al Ittihad,30,LB,68,68,13000.0,2.0,1352000.0,🔴 TERMINATE (No Resale Value)
L. Bacuna,Reading,26,LCM,68,69,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
Y. Meité,Reading,22,ST,67,72,11000.0,3.0,1716000.0,🔵 LOAN OUT (Young)
B. Hamer,Huddersfield Town,30,GK,67,67,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
E. Grezda,Rangers FC,23,RW,67,74,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
J. Hendry,Celtic,23,CB,67,74,13000.0,3.0,2028000.0,🔵 LOAN OUT (Young)
S. Edera,Torino,21,RW,67,77,11000.0,4.0,2288000.0,🔵 LOAN OUT (Young)
R. Di Gennaro,Inter,24,GK,67,70,11000.0,4.0,2288000.0,🟡 SELL NOW (Peak Age)
A. Lazaar,Newcastle United,26,LB,67,68,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
A. Rossi,Lazio,21,ST,67,77,12000.0,2.0,1248000.0,🔵 LOAN OUT (Young)
A. Al Hafith,Al Hilal,25,CB,67,72,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
M. McNulty,Reading,25,ST,67,69,12000.0,3.0,1872000.0,🟡 SELL NOW (Peak Age)
Alex Doneiro,Atlético Mineiro,30,CAM,67,67,11000.0,2.0,1144000.0,🔴 TERMINATE (No Resale Value)
Xande Silva,West Ham United,21,ST,67,77,18000.0,2.0,1872000.0,🔵 LOAN OUT (Young)
Jaílson,Fenerbahçe SK,22,CDM,67,78,15000.0,3.0,2340000.0,🔵 LOAN OUT (Young)
J. Steele,Brighton & Hove Albion,27,GK,67,70,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
A. Fletcher,Middlesbrough,22,ST,67,74,16000.0,2.0,1664000.0,🔵 LOAN OUT (Young)
K. Hause,Wolverhampton Wanderers,22,CB,67,78,16000.0,2.0,1664000.0,🔵 LOAN OUT (Young)
M. Al Fatil,Al Ahli,26,RCB,67,71,11000.0,2.0,1144000.0,🟡 SELL NOW (Peak Age)
S. Aluko,Reading,29,RW,67,67,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
Beto da Silva,Tigres U.A.N.L.,21,LW,66,76,11000.0,2.0,1144000.0,🔵 LOAN OUT (Young)
A. Acosta,Tigres U.A.N.L.,30,LB,66,66,13000.0,3.0,2028000.0,🔴 TERMINATE (No Resale Value)
M. Fallatah,Al Hilal,30,ST,66,66,11000.0,3.0,1716000.0,🔴 TERMINATE (No Resale Value)
L. Madrigal,Monterrey,25,ST,66,70,13000.0,2.0,1352000.0,🟡 SELL NOW (Peak Age)
